id,unidade_id,medico_id,data_plantao,turno,created_at,unidade_nome,unidade_endereco,medico_nome,medico_crm,medico_especialidade,medico_telefone,medico_usuario
f790bdc9-9cf1-4229-8fb1-2d44533770a0,ba3bb4c6-9705-45f4-adda-eb6c9469c043,a0b1f849-324f-4f4b-89ea-a58e51430367,2024-08-15,Noite,2026-04-09 13:40:31,Anestesista MG,,Aline Duarte [PS Sig - DF],CRM900022,Plantonista PS,,medico.15d87fb5.2
4fdf32a7-a0ce-40d4-9f0b-eaf57a6e9ed0,ba3bb4c6-9705-45f4-adda-eb6c9469c043,a0b1f849-324f-4f4b-89ea-a58e51430367,2024-09-10,Manhã,2026-04-09 13:40:32,Anestesista MG,,Aline Duarte [PS Sig - DF],CRM900022,Plantonista PS,,medico.15d87fb5.2
b79b36dd-c161-4f66-94af-9b10c39ecbe2,ba3bb4c6-9705-45f4-adda-eb6c9469c043,efc13381-bcdc-4551-a838-7e0445e0a984,2024-09-11,Tarde,2026-04-09 13:40:32,Anestesista MG,,Beatriz Monteiro [ENFERMARIA Vitória - ES],CRM900006,Clínico,,medico.decbd054.2
b17a6a31d05638cf927dc9ef99d72335,ba3bb4c6-9705-45f4-adda-eb6c9469c043,03b6d4fc-e465-45af-bfc8-18a5c8615c75,2026-04-01,Manhã,2026-04-09 14:11:09,Anestesista MG,,Lucas Andrade [Anestesista MG],CRM900017,Clínico,,medico.ba3bb4c6.1
0862bac3115c0328027618276eb5b334,ba3bb4c6-9705-45f4-adda-eb6c9469c043,03b6d4fc-e465-45af-bfc8-18a5c8615c75,2026-04-01,Tarde,2026-04-09 14:11:09,Anestesista MG,,Lucas Andrade [Anestesista MG],CRM900017,Clínico,,medico.ba3bb4c6.1
37417d99a446eb25f4f2837cd6700725,ba3bb4c6-9705-45f4-adda-eb6c9469c043,03b6d4fc-e465-45af-bfc8-18a5c8615c75,2026-04-01,Noite,2026-04-09 14:11:09,Anestesista MG,,Lucas Andrade [Anestesista MG],CRM900017,Clínico,,medico.ba3bb4c6.1
d8775ec38734b66c9b5854708b45a0e9,ba3bb4c6-9705-45f4-adda-eb6c9469c043,03b6d4fc-e465-45af-bfc8-18a5c8615c75,2026-04-01,Madrugada,2026-04-09 14:11:09,Anestesista MG,,Lucas Andrade [Anestesista MG],CRM900017,Clínico,,medico.ba3bb4c6.1
76aea27e3478c311dbeda74e8cf3ca05,c3e990cc-25fd-475b-a5c9-2e69a79fb506,1f65427e-c6f3-4d54-b0bd-4abca7bf6489,2026-04-01,Manhã,2026-04-09 14:11:09,PS Botafogo - RS,,Gustavo Almeida [PS Botafogo - RS],CRM900011,Plantonista PS,,medico.c3e990cc.1
f13f7daa8eaf55229db4bb9b7d05f858,c3e990cc-25fd-475b-a5c9-2e69a79fb506,1f65427e-c6f3-4d54-b0bd-4abca7bf6489,2026-04-01,Tarde,2026-04-09 14:11:09,PS Botafogo - RS,,Gustavo Almeida [PS Botafogo - RS],CRM900011,Plantonista PS,,medico.c3e990cc.1
15151fea81d532a4f86179d6d96469c9,c3e990cc-25fd-475b-a5c9-2e69a79fb506,1f65427e-c6f3-4d54-b0bd-4abca7bf6489,2026-04-01,Noite,2026-04-09 14:11:09,PS Botafogo - RS,,Gustavo Almeida [PS Botafogo - RS],CRM900011,Plantonista PS,,medico.c3e990cc.1
9cf991df232520f39ce44bf58ae09c94,c3e990cc-25fd-475b-a5c9-2e69a79fb506,1f65427e-c6f3-4d54-b0bd-4abca7bf6489,2026-04-01,Madrugada,2026-04-09 14:11:09,PS Botafogo - RS,,Gustavo Almeida [PS Botafogo - RS],CRM900011,Plantonista PS,,medico.c3e990cc.1
08cb256047493c2957a7cf11f5381d96,decbd054-c077-4e5a-90ca-fc0ec8ccf809,c33654ec-90b4-4040-8319-f1514f9cc961,2026-04-01,Manhã,2026-04-09 14:11:09,ENFERMARIA Vitória - ES,,Rafael Nogueira [ENFERMARIA Vitória - ES],CRM900005,Clínico,,medico.decbd054.1
