id,nome,telefone,especialidade,crm,senha,unidade_fixa_id,atendimento_padrao_por_periodo,created_at,usuario
7e68f824-7e6a-4ce6-9b87-69c6c98f784e,Eduardo Torres [UTI Vitória - ES],,Clínico,CRM900001,12345,e1969ee6-5072-452c-be7a-b4b67c584d56,10,2026-04-09 12:06:14,medico.e1969ee6.1
8b386fe0-f24c-45c2-9d05-0760b6480121,Daniele Campos [UTI Vitória - ES],,Clínico,CRM900002,12345,e1969ee6-5072-452c-be7a-b4b67c584d56,10,2026-04-09 12:06:14,medico.e1969ee6.2
6a6fd6c9-7e15-4dfc-b341-c90d65aef9b8,Matheus Pinto [PS Vitória - ES],,Plantonista PS,CRM900003,12345,492596f0-a69f-4b83-b583-30ab0ea3cb8c,10,2026-04-09 12:06:14,medico.492596f0.1
c58b932c-9c70-4d77-ba4f-99a85f7a3ba2,Fernanda Costa [PS Vitória - ES],,Plantonista PS,CRM900004,12345,492596f0-a69f-4b83-b583-30ab0ea3cb8c,10,2026-04-09 12:06:14,medico.492596f0.2
c33654ec-90b4-4040-8319-f1514f9cc961,Rafael Nogueira [ENFERMARIA Vitória - ES],,Clínico,CRM900005,12345,decbd054-c077-4e5a-90ca-fc0ec8ccf809,10,2026-04-09 12:06:14,medico.decbd054.1
efc13381-bcdc-4551-a838-7e0445e0a984,Beatriz Monteiro [ENFERMARIA Vitória - ES],,Clínico,CRM900006,12345,decbd054-c077-4e5a-90ca-fc0ec8ccf809,10,2026-04-09 12:06:14,medico.decbd054.2
6e843629-6993-443e-8821-c94fd5ea6136,Leonardo Rocha [PS Vila Velha - ES],,Plantonista PS,CRM900007,12345,b6916e29-2cdc-433c-9f8b-c9e0fb4b27a1,10,2026-04-09 12:06:14,medico.b6916e29.1
1c7d8922-0417-4097-a48a-85eab0cc3c71,Patricia Lima [PS Vila Velha - ES],,Plantonista PS,CRM900008,12345,b6916e29-2cdc-433c-9f8b-c9e0fb4b27a1,10,2026-04-09 12:06:14,medico.b6916e29.2
d25cd78c-d94e-461a-9169-143307d9f762,Felipe Martins [PS Campo grande - RJ],,Plantonista PS,CRM900009,12345,e76bf95b-5aad-4709-bb29-2c611a1cc0c5,10,2026-04-09 12:06:14,medico.e76bf95b.1
9028f781-e4ba-4b3a-be39-959f6ae067b1,Juliana Azevedo [PS Campo grande - RJ],,Plantonista PS,CRM900010,12345,e76bf95b-5aad-4709-bb29-2c611a1cc0c5,10,2026-04-09 12:06:14,medico.e76bf95b.2
