id,nome,usuario,senha,perfil_id,unidade_id,created_at,perfil_nome,unidade_nome
33a526ba-dfc9-411b-907a-06b804dd4d86,Gestor Master,gestor.master,12345,f782bb40-c538-4b4f-918c-92a6afb4c378,,2026-04-06T01:43:46.552627+00:00,GESTOR_MASTER,
c53fc81b-32f5-4c79-8fe3-e1386d92bc95,André Moraes [Anestesista MG],gestor.poc.ba3bb4c6.1,12345,d1000001-0000-4000-8000-000000000001,ba3bb4c6-9705-45f4-adda-eb6c9469c043,2026-04-06T01:46:46.984731+00:00,,Anestesista MG
395e0eae-cd9f-42d8-8047-945284fe0081,Roberto Silveira [ENFERMARIA Vitória - ES],gestor.poc.decbd054.1,12345,d1000001-0000-4000-8000-000000000001,decbd054-c077-4e5a-90ca-fc0ec8ccf809,2026-04-06T01:46:46.984731+00:00,,ENFERMARIA Vitória - ES
19702d24-23ba-463a-974e-a839ff83c8f4,Marcelo Viana [PS Barra da Tijuca - RJ],gestor.poc.d59c5067.1,12345,d1000001-0000-4000-8000-000000000001,d59c5067-c1d2-4658-acb2-7fb7ebf70fb0,2026-04-06T01:46:46.984731+00:00,,PS Barra da Tijuca - RJ
b5745964-d19f-46e2-a4db-2e947e3dda4b,Diego Tavares [PS Botafogo - RS],gestor.poc.c3e990cc.1,12345,d1000001-0000-4000-8000-000000000001,c3e990cc-25fd-475b-a5c9-2e69a79fb506,2026-04-06T01:46:46.984731+00:00,,PS Botafogo - RS
f0b67bc9-34bf-41cc-b55e-3dea8abcb7ec,Sergio Bastos [PS Campo grande - RJ],gestor.poc.e76bf95b.1,12345,d1000001-0000-4000-8000-000000000001,e76bf95b-5aad-4709-bb29-2c611a1cc0c5,2026-04-06T01:46:46.984731+00:00,,PS Campo grande - RJ
01a9ea3c-04a4-4310-bfe7-5e62c74084d6,Alexandre Cunha [PS Pampulha - MG],gestor.poc.ace03104.1,12345,d1000001-0000-4000-8000-000000000001,ace03104-da8d-49f9-a5f7-1ab2ac75dea7,2026-04-06T01:46:46.984731+00:00,,PS Pampulha - MG
38a393d1-fec9-4223-b36a-84931cf22f49,Cristiane Novaes [PS Sig - DF],gestor.poc.15d87fb5.2,12345,d1000001-0000-4000-8000-000000000001,15d87fb5-b135-4c65-bad1-4751514f1e0f,2026-04-06T01:46:46.984731+00:00,,PS Sig - DF
dc2e4875-38e7-422a-a96e-89548dbdeadb,Fábio Sampaio [PS Taguatinga - DF],gestor.poc.87aec33f.1,12345,d1000001-0000-4000-8000-000000000001,87aec33f-b6d1-4263-b8e3-e53bbbf6b3a2,2026-04-06T01:46:46.984731+00:00,,PS Taguatinga - DF
5a56b6ad-c70d-4fd9-9195-25ed06fc2efe,Elaine Nunes [PS Vila Velha - ES],gestor.poc.b6916e29.2,12345,d1000001-0000-4000-8000-000000000001,b6916e29-2cdc-433c-9f8b-c9e0fb4b27a1,2026-04-06T01:46:46.984731+00:00,,PS Vila Velha - ES
73e4529b-da06-494f-9f99-9053e9edce29,Flavia Antunes [PS Vitória - ES],gestor.poc.492596f0.2,12345,d1000001-0000-4000-8000-000000000001,492596f0-a69f-4b83-b583-30ab0ea3cb8c,2026-04-06T01:46:46.984731+00:00,,PS Vitória - ES
515db6ca-98b0-47f8-81f6-13f484ef80b7,Karla Menezes [PS Vitural - Web],gestor.poc.d270354e.2,12345,d1000001-0000-4000-8000-000000000001,d270354e-a819-4d5d-b79c-1f969c2bcdaa,2026-04-06T01:46:46.984731+00:00,,PS Vitural - Web
ed25feb5-210b-4ecb-9075-f5a2d42a8f62,Isabela Franco [UTI Vitória - ES],gestor.poc.e1969ee6.2,12345,d1000001-0000-4000-8000-000000000001,e1969ee6-5072-452c-be7a-b4b67c584d56,2026-04-06T01:46:46.984731+00:00,,UTI Vitória - ES
